term,lime_weight
optimistic,0.4579326503732652
slightly,-0.14737217853661685
red,-0.06718219019040277
arm,-0.06290409700646696
my,-0.06230279498239674
arrived,0.05467489578105256
of,-0.051951143213358794
when,-0.04214774274790628
